#description: jpscore (0.8.4)
#count: 0
#framerate: 16.00
#geometry: /Users/jonas/Documents/phd/c++/jps_ben_vel/jpscore/build/bin/../../files/evacuation_files/trajectories/ini_lm_50/ini_4_5_lm_50/geo_4_5.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
#A, B: semi-axes of the ellipse
#ANGLE: orientation of the ellipse
#COLOR: color of the ellipse


#ID	FR	X	Y	Z	A	B	ANGLE	COLOR
1	0	1.15	8.52	0.00	0.17	0.17	-95.40	0
2	0	0.47	7.16	0.00	0.17	0.17	-91.54	0
3	0	1.15	3.76	0.00	0.17	0.17	-100.71	0
4	0	0.47	6.48	0.00	0.17	0.17	-91.68	0
5	0	0.81	8.86	0.00	0.17	0.17	-93.25	0
6	0	-0.89	3.08	0.00	0.17	0.17	-81.09	0
7	0	1.49	7.50	0.00	0.17	0.17	-98.30	0
8	0	1.49	2.06	0.00	0.17	0.17	-112.06	0
9	0	1.83	1.38	0.00	0.17	0.17	-123.58	0
10	0	-1.23	2.06	0.00	0.17	0.17	-72.24	0
11	0	0.47	5.12	0.00	0.17	0.17	-92.06	0
12	0	-1.57	5.12	0.00	0.17	0.17	-77.83	0
13	0	-1.91	2.40	0.00	0.17	0.17	-63.98	0
14	0	1.83	2.74	0.00	0.17	0.17	-112.90	0
15	0	-0.21	8.52	0.00	0.17	0.17	-90.00	0
16	0	-1.91	8.18	0.00	0.17	0.17	-79.75	0
17	0	0.47	0.36	0.00	0.17	0.17	-99.19	0
18	0	0.47	7.84	0.00	0.17	0.17	-91.43	0
19	0	-0.21	6.82	0.00	0.17	0.17	-90.00	0
20	0	0.81	6.14	0.00	0.17	0.17	-94.48	0
21	0	-1.91	8.86	0.00	0.17	0.17	-80.44	0
22	0	-1.57	6.48	0.00	0.17	0.17	-79.99	0
23	0	-1.23	1.38	0.00	0.17	0.17	-67.62	0
24	0	-1.91	6.82	0.00	0.17	0.17	-78.02	0
25	0	-1.57	5.80	0.00	0.17	0.17	-79.01	0
26	0	-0.89	4.10	0.00	0.17	0.17	-82.85	0
27	0	-0.21	0.36	0.00	0.17	0.17	-90.00	0
28	0	-1.91	4.10	0.00	0.17	0.17	-71.97	0
29	0	0.47	4.44	0.00	0.17	0.17	-92.32	0
30	0	1.83	0.36	0.00	0.17	0.17	-139.28	0
31	0	0.81	8.52	0.00	0.17	0.17	-93.37	0
